"행정구역","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율"
"전국  (1000000000)","51,849,861","22,481,466","          2.31","25,864,816","25,985,045","          1.00"
"서울특별시  (1100000000)","9,729,107","4,327,605","          2.25","4,744,059","4,985,048","          0.95"
"부산광역시  (2600000000)","3,413,841","1,497,908","          2.28","1,675,417","1,738,424","          0.96"
"대구광역시  (2700000000)","2,438,031","1,031,251","          2.36","1,205,286","1,232,745","          0.98"
"인천광역시  (2800000000)","2,957,026","1,238,641","          2.39","1,482,249","1,474,777","          1.01"
"광주광역시  (2900000000)","1,456,468","616,485","          2.36","720,740","735,728","          0.98"
"대전광역시  (3000000000)","1,474,870","635,343","          2.32","736,607","738,263","          1.00"
"울산광역시  (3100000000)","1,148,019","468,659","          2.45","589,712","558,307","          1.06"
"세종특별자치시  (3600000000)","340,575","135,408","          2.52","169,845","170,730","          0.99"
"경기도  (4100000000)","13,239,666","5,468,920","          2.42","6,659,995","6,579,671","          1.01"
"강원도  (4200000000)","1,541,502","719,524","          2.14","775,386","766,116","          1.01"
"충청북도  (4300000000)","1,600,007","722,123","          2.22","810,384","789,623","          1.03"
"충청남도  (4400000000)","2,123,709","959,255","          2.21","1,081,938","1,041,771","          1.04"
"전라북도  (4500000000)","1,818,917","816,191","          2.23","904,110","914,807","          0.99"
"전라남도  (4600000000)","1,868,745","872,628","          2.14","937,674","931,071","          1.01"
"경상북도  (4700000000)","2,665,836","1,227,548","          2.17","1,342,037","1,323,799","          1.01"
"경상남도  (4800000000)","3,362,553","1,450,822","          2.32","1,692,032","1,670,521","          1.01"
"제주특별자치도  (5000000000)","670,989","293,155","          2.29","337,345","333,644","          1.01"
