iter	MAPE	MAE
0	17.86855134	14304212.2
1	17.33296003	13909879.81
2	16.83897433	13540683.04
3	16.40030227	13210392.86
4	15.95326499	12892798.41
5	15.47539427	12581563.41
6	15.09017957	12308142.83
7	14.72808872	12051761.35
8	14.34111441	11801996.91
9	13.98453251	11580091.17
10	13.61509948	11360689.69
11	13.33365198	11156041.94
12	13.03491017	10973772.5
13	12.72044342	10791355.85
14	12.44201229	10630374.18
15	12.16085345	10474411.81
16	11.91046857	10322005.29
17	11.6916762	10194638.78
18	11.51144638	10067528.87
19	11.26885856	9939871.908
20	11.10667755	9833627.258
21	10.90724865	9727097.3
22	10.70607624	9618342.605
23	10.47807594	9521589.994
24	10.329436	9435270.804
25	10.19003821	9352394.424
26	10.00499075	9266390.65
27	9.813993801	9198447.804
28	9.710675841	9123629.286
29	9.597136425	9058360.488
30	9.44434831	9009284.144
31	9.309736648	8954913.277
32	9.197840615	8900741.405
33	9.074623823	8849779.743
34	8.961073383	8791711.852
35	8.834255455	8749951.659
36	8.744641224	8708830.272
37	8.630130612	8662282.472
38	8.516166646	8606955.864
39	8.442379738	8562487.159
40	8.375557241	8523466.627
41	8.323185787	8486588.779
42	8.242989497	8443049.639
43	8.153372838	8405976.895
44	8.077089845	8371884.804
45	8.006573967	8339819.188
46	7.961229803	8307446.287
47	7.907185606	8272170.64
48	7.841916921	8243091.591
49	7.805325529	8218243.42
50	7.701710974	8196114.976
51	7.64668483	8160405.67
52	7.58780326	8132715.157
53	7.561542217	8105427.544
54	7.491927474	8078916.082
55	7.447272868	8060207.684
56	7.352193984	8033722.706
57	7.273212741	8012041.118
58	7.243326279	7995080.331
59	7.20848028	7982469.838
60	7.14516507	7954647.232
61	7.068541763	7936674.813
62	7.043878576	7910033.09
63	7.005450198	7884229.444
64	6.973794599	7869090.005
65	6.945297837	7851385.591
66	6.897424221	7822104.303
67	6.859140478	7804132.337
68	6.829456262	7783806.452
69	6.79690137	7763536.077
70	6.774965026	7749158.843
71	6.75251416	7731119.863
72	6.736309447	7715534.461
73	6.727809916	7703296.708
74	6.688253644	7689956.61
75	6.664468645	7672270.853
76	6.596514386	7657313.705
77	6.580358735	7643452.318
78	6.522130075	7632786.166
79	6.471599667	7619910.65
80	6.399773816	7608261.375
81	6.383650303	7591553.723
82	6.330475175	7580366.943
83	6.275565941	7554282.331
84	6.2341299	7537848.98
85	6.19025604	7522651.7
86	6.136751208	7511126.894
87	6.108356252	7498130.505
88	6.085145144	7474933.213
89	6.067963666	7462978.63
90	6.030530867	7448120.982
91	5.98517574	7435516.385
92	5.974807512	7422349.925
93	5.943119139	7410976.111
94	5.911221464	7401571.875
95	5.88682871	7393107.176
96	5.848964031	7378731.525
97	5.841573831	7367150.972
98	5.808826456	7355864.449
99	5.790057381	7348740.331
100	5.768174174	7342568.982
101	5.737165834	7327758.058
102	5.712580722	7320971.139
103	5.69117794	7305935.628
104	5.68159744	7298311.485
105	5.659696076	7291675.242
106	5.647353506	7278801.877
107	5.638185213	7268564.753
108	5.625152669	7261285.288
109	5.598316295	7242414.947
110	5.581462848	7233352.634
111	5.560073621	7228268.519
112	5.552586906	7220685.342
113	5.53292991	7213769.197
114	5.520567076	7204697.849
115	5.517900375	7197271.795
116	5.50668845	7187335.631
117	5.486405155	7177761.935
118	5.47319147	7166378.258
119	5.456422295	7161069.248
120	5.426110149	7148184.115
121	5.41301878	7142921.661
122	5.403575766	7130991.521
123	5.397622197	7119494.62
124	5.388167602	7109331.137
125	5.386811221	7094528.86
126	5.382490193	7087992.437
127	5.379424915	7080198.308
128	5.361737385	7070006.618
129	5.345503092	7057652.468
130	5.339298568	7046602.012
131	5.330325551	7041142.047
132	5.325434439	7032630.635
133	5.320794856	7022314.373
134	5.31527611	7013216.626
135	5.293391436	6999603.266
136	5.281024162	6984279.716
137	5.273338868	6973483.039
138	5.269110639	6969855.802
139	5.265542923	6960164.566
140	5.26053035	6943617.564
141	5.249177385	6938007.752
142	5.231719243	6927585.36
143	5.22326455	6921522.56
144	5.209205494	6914264.439
145	5.200922674	6905548.695
146	5.192113457	6901343.968
147	5.187681294	6889593.802
148	5.172030784	6878589.852
149	5.173587946	6874619.699
150	5.171118289	6868289.545
151	5.173810785	6861614.599
152	5.168961071	6852490.654
153	5.160524619	6844768.299
154	5.155334562	6839541.433
155	5.151789866	6836225.443
156	5.151032034	6831692.39
157	5.149556925	6823820.058
158	5.145530164	6813183.704
159	5.142634233	6806740.218
160	5.134561122	6798057.492
161	5.129622821	6788821.049
162	5.126080785	6776806.862
163	5.12027196	6771132.345
164	5.112455578	6765140.149
165	5.097937271	6756444.972
166	5.092751309	6748538.994
167	5.092254804	6741285.326
168	5.087686549	6733468.076
169	5.080572121	6725063.906
170	5.073877367	6719022.427
171	5.06481623	6711993.083
172	5.061963625	6709080.059
173	5.057301914	6702075.689
174	5.05098456	6698459.886
175	5.045459631	6694387.992
176	5.047453356	6690621.367
177	5.034841633	6684570.3
178	5.030896195	6675268.526
179	5.027009016	6667857.498
180	5.025685532	6660475.96
181	5.024724014	6656192.172
182	5.023279354	6649206.903
183	5.015315717	6640296.729
184	5.014297032	6636753.895
185	5.003589224	6629530.605
186	4.998018628	6623764.591
187	5.000145483	6617941.253
188	4.994364748	6610427.322
189	4.99346076	6604898.197
190	4.971312276	6593444.255
191	4.9651584	6586176.89
192	4.957186854	6578665.138
193	4.957659181	6573789.3
194	4.956592643	6568039.083
195	4.951810402	6560071.764
196	4.9370504	6555130.447
197	4.933429342	6549121.752
198	4.929113555	6540525.217
199	4.922141274	6532919.806
200	4.919885705	6525241.244
201	4.912599351	6519338.375
202	4.915673409	6511764.291
203	4.90486522	6503052.061
204	4.902418407	6499242.235
205	4.89916389	6493483.822
206	4.896126101	6483979.453
207	4.896164174	6478352.962
208	4.890626264	6474013.631
209	4.891618317	6466886.837
210	4.888023468	6461685.13
211	4.886168896	6455853.607
212	4.876314677	6449190.279
213	4.875142702	6442702.798
214	4.867763238	6436691.615
215	4.863784049	6430225.432
216	4.860480788	6425987.552
217	4.854428073	6418484.559
218	4.851476023	6412455.352
219	4.851766434	6407849.33
220	4.850077505	6402625.916
221	4.847393114	6394145.267
222	4.844850853	6385161.829
223	4.821341454	6376621.107
224	4.820579455	6371588.339
225	4.815668652	6362013.008
226	4.814562614	6357018.547
227	4.80892106	6349620.903
228	4.806500607	6341789.427
229	4.803347456	6334037.636
230	4.800601143	6329707.19
231	4.799938943	6324958.742
232	4.797018922	6320680.363
233	4.796977361	6315239.919
234	4.793696513	6307257.665
235	4.794069267	6299425.579
236	4.780515665	6291018.457
237	4.770782762	6285325.958
238	4.766614496	6276462.14
239	4.764477748	6272457.106
240	4.764898643	6265084.65
241	4.759321115	6255393.823
242	4.75791536	6249171.416
243	4.758533012	6246086.692
244	4.754741366	6241254.01
245	4.751060774	6232896.362
246	4.743687891	6223232.356
247	4.740956677	6217398.432
248	4.739856185	6211692.211
249	4.736365317	6202248.136
250	4.734322667	6196428.723
251	4.733119436	6189087.17
252	4.730274984	6180653.256
253	4.721436178	6176790.951
254	4.717538372	6168351.62
255	4.70392699	6159009.046
256	4.703314664	6151480.512
257	4.702050105	6148272.277
258	4.702503407	6144146.819
259	4.698952748	6140790.91
260	4.68750082	6134382.726
261	4.682188657	6127496.735
262	4.680976753	6124103.371
263	4.67961303	6121571.654
264	4.674780873	6112614.945
265	4.672298728	6106029.004
266	4.668242812	6099529.578
267	4.669467294	6094742.617
268	4.667029725	6090505.011
269	4.6631272	6085180.247
270	4.662296458	6078025.635
271	4.658103562	6068656.734
272	4.659220409	6065240.591
273	4.644785318	6055164.816
274	4.64377698	6044462.277
275	4.640855814	6038690.583
276	4.641953032	6034506.182
277	4.639397075	6028655.434
278	4.638643022	6022848.272
279	4.63738179	6017024.671
280	4.637089398	6013875.727
281	4.637004523	6007148.876
282	4.638141528	6000898.736
283	4.634031811	5996782.149
284	4.631749897	5994024.15
285	4.632620054	5989099.088
286	4.628374171	5985231.468
287	4.625251287	5973034.678
288	4.623515684	5966253.606
289	4.621249569	5962415.179
290	4.607871389	5954726.847
291	4.607319244	5948341.394
292	4.604467317	5938158.391
293	4.601241474	5932835.865
294	4.593284545	5927274.719
295	4.588912246	5922875.056
296	4.589852536	5918798.693
297	4.592518151	5909123.23
298	4.591607004	5903857.054
299	4.581328008	5898811.84
300	4.580948308	5894134.643
301	4.577450875	5889794.546
302	4.575127404	5885127.853
303	4.57630783	5883782.132
304	4.576342643	5879097.364
305	4.575461561	5871298.894
306	4.574789486	5866984.162
307	4.571400648	5857832.732
308	4.564604054	5852832.74
309	4.556725202	5847947.856
310	4.549752306	5840622.515
311	4.547464965	5834943.749
312	4.544567906	5829486.67
313	4.541222255	5824111.056
314	4.538154764	5819577.412
315	4.534648075	5815532.621
316	4.532071894	5811644.961
317	4.531229895	5808277.955
318	4.527768855	5800688.106
319	4.520694166	5796483.685
320	4.518952828	5790891.161
321	4.518114468	5788159.117
322	4.521397198	5785382.545
323	4.519986194	5781131.634
324	4.521380784	5778224.759
325	4.52203333	5771142.993
326	4.521216614	5768107.395
327	4.517488425	5763755.183
328	4.517058342	5757906.208
329	4.511605554	5751133.556
330	4.500999803	5745323.402
331	4.501307726	5741638.162
332	4.499119539	5735798.206
333	4.493668585	5730816.869
334	4.491312483	5726282.939
335	4.491193027	5722854.738
336	4.489430506	5719047.398
337	4.489349152	5715483.505
338	4.484415071	5712018.348
339	4.482348387	5708294.281
