iter	Passed	Remaining
0	39	39948
1	99	49771
2	152	50583
3	206	51425
4	262	52227
5	316	52382
6	369	52436
7	427	53019
8	492	54210
9	567	56151
10	626	56284
11	681	56098
12	738	56072
13	799	56335
14	868	57046
15	934	57497
16	1002	57983
17	1084	59171
18	1155	59672
19	1221	59838
20	1283	59844
21	1355	60243
22	1421	60400
23	1484	60373
24	1549	60415
25	1604	60099
26	1665	60003
27	1728	60003
28	1791	59974
29	1852	59894
30	1907	59628
31	1963	59390
32	2024	59320
33	2081	59151
34	2139	58992
35	2197	58846
36	2260	58845
37	2319	58725
38	2383	58725
39	2442	58619
40	2505	58613
41	2565	58522
42	2627	58484
43	2685	58358
44	2749	58348
45	2812	58332
46	2872	58244
47	2935	58216
48	2994	58115
49	3052	57990
50	3108	57851
51	3168	57763
52	3232	57762
53	3289	57621
54	3348	57534
55	3405	57409
56	3462	57285
57	3516	57119
58	3571	56961
59	3625	56799
60	3684	56723
61	3744	56643
62	3802	56555
63	3857	56421
64	3914	56313
65	3972	56210
66	4031	56137
67	4091	56073
68	4162	56168
69	4232	56227
70	4300	56266
71	4359	56188
72	4418	56113
73	4484	56114
74	4545	56064
75	4607	56013
76	4662	55889
77	4719	55788
78	4773	55650
79	4830	55552
80	4891	55492
81	4945	55368
82	5000	55246
83	5055	55124
84	5112	55032
85	5172	54968
86	5230	54890
87	5289	54820
88	5353	54794
89	5408	54690
90	5464	54585
91	5519	54471
92	5574	54369
93	5632	54290
94	5689	54196
95	5747	54125
96	5801	54007
97	5854	53889
98	5911	53800
99	5964	53684
100	6021	53598
101	6079	53525
102	6138	53461
103	6199	53408
104	6259	53358
105	6324	53336
106	6385	53290
107	6447	53254
108	6509	53206
109	6569	53150
110	6627	53081
111	6687	53020
112	6748	52969
113	6811	52937
114	6875	52907
115	6939	52887
116	7004	52860
117	7065	52808
118	7124	52747
119	7190	52731
120	7245	52633
121	7311	52620
122	7379	52618
123	7444	52589
124	7514	52598
125	7572	52523
126	7633	52475
127	7696	52431
128	7761	52404
129	7820	52334
130	7874	52235
131	7926	52120
132	7975	51991
133	8032	51909
134	8088	51823
135	8148	51763
136	8216	51755
137	8281	51728
138	8340	51660
139	8404	51628
140	8471	51607
141	8542	51615
142	8606	51578
143	8661	51488
144	8729	51473
145	8801	51479
146	8859	51411
147	8912	51305
148	8963	51192
149	9016	51092
150	9069	50991
151	9128	50929
152	9196	50908
153	9257	50857
154	9321	50815
155	9392	50818
156	9454	50767
157	9512	50692
158	9575	50647
159	9641	50620
160	9698	50541
161	9764	50512
162	9848	50573
163	9912	50527
164	9974	50478
165	10035	50419
166	10097	50366
167	10156	50296
168	10216	50236
169	10274	50162
170	10332	50091
171	10391	50023
172	10450	49956
173	10515	49916
174	10584	49896
175	10648	49855
176	10717	49833
177	10790	49832
178	10871	49862
179	10936	49819
180	10994	49747
181	11052	49677
182	11112	49611
183	11172	49549
184	11234	49490
185	11294	49428
186	11351	49349
187	11407	49269
188	11472	49229
189	11537	49187
190	11603	49148
191	11664	49089
192	11723	49021
193	11784	48958
194	11839	48876
195	11900	48815
196	11967	48780
197	12055	48832
198	12125	48806
199	12185	48741
200	12242	48666
201	12304	48609
202	12361	48531
203	12419	48460
204	12476	48382
205	12530	48297
206	12611	48312
207	12695	48339
208	12756	48278
209	12816	48215
210	12879	48159
211	12936	48085
212	12996	48019
213	13053	47945
214	13107	47856
215	13184	47856
216	13260	47847
217	13337	47843
218	13410	47824
219	13482	47800
220	13548	47758
221	13616	47719
222	13681	47671
223	13742	47608
224	13804	47549
225	13871	47507
226	13943	47480
227	14011	47441
228	14080	47407
229	14143	47349
230	14209	47302
